name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.3,"₹13,999","₹11,499",13999.0,11499.0
"SAMSUNG Galaxy A04 (Green, 128 GB)",3.6,"₹15,999","₹12,999",15999.0,12999.0
"LAVA Blaze Pro (Glass Orange, 64 GB)",4.3,"₹12,999","₹10,200",12999.0,10200.0
"SAMSUNG Galaxy A13 (Green, 64 GB)",4.1,"₹18,499","₹14,889",18499.0,14889.0
"realme Narzo 20A (Victory Blue, 64 GB)",4.4,,"₹11,999",,11999.0
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,,"₹17,999",,17999.0
"OPPO A15S (Rainbow Silver, 64 GB)",4.3,,"₹13,990",,13990.0
"IQOO Z6 Lite 5G (Without Charger) (Stellar Green, 64 GB)",4.2,"₹14,480","₹14,330",14480.0,14330.0
"MOTOROLA G51 5G (Indigo Blue, 64 GB)",4.1,"₹17,999","₹14,999",17999.0,14999.0
"POCO M3 (Yellow, 64 GB)",4.3,,"₹11,999",,11999.0
"SAMSUNG A04 E (Copper, 128 GB)",4.7,"₹11,999","₹11,499",11999.0,11499.0
"OPPO A15S (Fancy white, 128 GB)",4.3,"₹14,990","₹12,790",14990.0,12790.0
"POCO M3 (Yellow, 64 GB)",4.3,,"₹11,999",,11999.0
GREENBERRI RAFALE,4.0,,₹899,,899.0
"SAMSUNG Galaxy A04e (Light Blue, 128 GB)",4.3,"₹14,999","₹11,299",14999.0,11299.0
"Micromax IN Note 1 (Green, 64 GB)",4.1,"₹15,499","₹11,499",15499.0,11499.0
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,,"₹17,999",,17999.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"realme C12 (Power Silver, 32 GB)",4.4,,"₹10,999",,10999.0
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",4.2,"₹19,999","₹12,999",19999.0,12999.0
"Tecno Camon 19 (Memphis Green, 128 GB)",4.2,"₹15,287","₹14,990",15287.0,14990.0
Cellecor E3,3.9,"₹1,599","₹1,176",1599.0,1176.0
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,"₹12,999","₹11,099",12999.0,11099.0
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,199",14999.0,11199.0
"Redmi 6 (Black, 64 GB)",4.4,,"₹10,499",,10499.0
"OPPO A 57e (Green, 64 GB)",4.0,"₹16,999","₹13,989",16999.0,13989.0
"Nokia G20 (Dark Blue, 64 GB)",3.9,"₹14,999","₹12,169",14999.0,12169.0
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990","₹10,990",11990.0,10990.0
"realme C15 (Power Blue, 32 GB)",4.3,,"₹11,999",,11999.0
"Redmi Y2 (Blue, 32 GB)",4.5,,"₹10,499",,10499.0
"realme C12 (Power Blue, 32 GB)",4.4,,"₹10,999",,10999.0
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,,"₹16,999",,16999.0
"SAMSUNG GALAXY M13 5G (Stardust Brown, 64 GB)",4.1,"₹16,999","₹13,699",16999.0,13699.0
"Redmi 6 (Gold, 64 GB)",4.4,,"₹10,499",,10499.0
"SAMSUNG Galaxy A04 (Black, 64 GB)",3.6,"₹14,999","₹11,999",14999.0,11999.0
"Redmi Note 7S (Sapphire Blue, 64 GB)",4.4,,"₹13,999",,13999.0
"SAMSUNG Galaxy A04 (Copper, 128 GB)",3.6,"₹15,999","₹12,999",15999.0,12999.0
GREENBERRI RAFALE,4.0,,₹899,,899.0
"Redmi 6 (Blue, 64 GB)",4.4,,"₹10,499",,10499.0
"LAVA Blaze Pro 6GB+128GB (Glass Orange, 128 GB)",,"₹13,999","₹11,949",13999.0,11949.0
"vivo Y16 (Drizzling Gold, 64 GB)",4.3,"₹14,999","₹10,890",14999.0,10890.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"Nokia 5.4 (Polar Night, 64 GB)",3.9,,"₹16,799",,16799.0
"realme C15 (Power Silver, 32 GB)",4.3,,"₹11,999",,11999.0
"Redmi Note 6 Pro (Black, 64 GB)",4.5,,"₹15,999",,15999.0
Cellecor E3,3.9,"₹1,599","₹1,176",1599.0,1176.0
